event,start,end,group,notes,category,color
,3/29/2022,4/5/2022,"CVP regular counts, CWT reading, and larval sampling  ",Active,1,#55C667FF
,3/29/2022,4/5/2022,Smelt Larval Survey  ,Active ,4,#ffffff
,3/29/2022,4/5/2022,LEPS,Active,4,#ffffff
,3/29/2022,4/5/2022,20mm Survey  ,Active ,1,#55C667FF
,3/29/2022,4/5/2022,Spring Kodiak Trawl  ,Active ,1,#55C667FF
,3/29/2022,4/5/2022,Fall Mid-water Trawl , Not Active ,4,#ffffff
,3/29/2022,4/5/2022,Summer Townet Survey ,Not Active ,4,#ffffff
,3/29/2022,4/5/2022,Bay Study  ,Active ,1,#55C667FF
,3/29/2022,4/5/2022, DJFMP- Chipps and Sacramento Trawls ,Active ,1,#55C667FF
,3/29/2022,4/5/2022,DJFMP- Seines  ,Active (no South Delta seine runs),2,#FDE725FF
,3/29/2022,4/5/2022, EDSM  ,Active ,1,#55C667FF
,3/29/2022,4/5/2022,EMP   , Active ,1,#55C667FF
,3/29/2022,4/5/2022,Mossdale   ,Active ,1,#55C667FF
,3/29/2022,4/5/2022,USGS Flow monitoring  ,Active  ,1,#55C667FF
,3/29/2022,4/5/2022,Red Bluff Diversion Dam screw trap  ,Active ,1,#55C667FF
,3/29/2022,4/5/2022,Knights Landing screw trap  ,Active ,1,#55C667FF
,3/29/2022,4/5/2022,Tisdale screw trap  ,Active ,1,#55C667FF
,3/29/2022,4/5/2022,GCID screw trap ,Active ,1,#55C667FF
,3/29/2022,4/5/2022,Redd dewatering and stranding surveys  ,Not Active ,4,#ffffff
,3/29/2022,4/5/2022,Sacramento Carcass and Redd Surveys  ,Active,1,#55C667FF
,3/29/2022,4/5/2022,Lower Sacramento Rotary Screw Trap,Active ,1,#55C667FF
,3/29/2022,4/5/2022,Feather River screw trap  ,Active (weekdays only) ,1,#55C667FF
,3/29/2022,4/5/2022,SJRRP CDFW Field Monitoring   ,Active ,1,#55C667FF
,3/29/2022,4/5/2022,SJRRP USFWS and USBR Field Monitoring,Active ,1,#55C667FF
,3/29/2022,4/5/2022,Stanislaus Fish Weir ,Active ,1,#55C667FF
,4/5/2022,4/12/2022,"SWP regular counts, CWT reading, and larval sampling  ",Active ,1,#55C667FF
,4/5/2022,4/12/2022,"CVP regular counts, CWT reading, and larval sampling  ",Active,1,#55C667FF
,4/5/2022,4/12/2022,Smelt Larval Survey  ,Not Active,4,#ffffff
,4/5/2022,4/12/2022,LEPS,Active,4,#ffffff
,4/5/2022,4/12/2022,20mm Survey  ,Active ,1,#55C667FF
,4/5/2022,4/12/2022,Spring Kodiak Trawl  ,Active ,1,#55C667FF
,4/5/2022,4/12/2022,Fall Mid-water Trawl , Not Active ,4,#ffffff
,4/5/2022,4/12/2022,Summer Townet Survey ,Not Active ,4,#ffffff
,4/5/2022,4/12/2022,Bay Study  ,Active ,1,#55C667FF
,4/5/2022,4/12/2022, DJFMP- Chipps and Sacramento Trawls ,Active ,1,#55C667FF
,4/5/2022,4/12/2022,DJFMP- Seines  ,Active ,1,#55C667FF
,4/5/2022,4/12/2022, EDSM  ,Active ,1,#55C667FF
,4/5/2022,4/12/2022,EMP   , Active ,1,#55C667FF
,4/5/2022,4/12/2022,Mossdale   ,Active ,1,#55C667FF
,4/5/2022,4/12/2022,USGS Flow monitoring  ,Active  ,1,#55C667FF
,4/5/2022,4/12/2022,Red Bluff Diversion Dam screw trap  ,Active ,1,#55C667FF
,4/5/2022,4/12/2022,Knights Landing screw trap  ,Active ,1,#55C667FF
,4/5/2022,4/12/2022,Tisdale screw trap  ,Active ,1,#55C667FF
,4/5/2022,4/12/2022,GCID screw trap ,Active ,1,#55C667FF
,4/5/2022,4/12/2022,Redd dewatering and stranding surveys  ,Not Active ,4,#ffffff
,4/5/2022,4/12/2022,Sacramento Carcass and Redd Surveys  ,Active,1,#55C667FF
,4/5/2022,4/12/2022,Lower Sacramento Rotary Screw Trap,Active ,1,#55C667FF
,4/5/2022,4/12/2022,Feather River screw trap  ,Active (weekdays only) ,1,#55C667FF
,4/5/2022,4/12/2022,SJRRP CDFW Field Monitoring   ,Active ,1,#55C667FF
,4/5/2022,4/12/2022,SJRRP USFWS and USBR Field Monitoring,Active ,1,#55C667FF
,4/5/2022,4/12/2022,Stanislaus Fish Weir ,Active ,1,#55C667FF
,4/12/2022,4/19/2022,"SWP regular counts, CWT reading, and larval sampling  ",Active ,1,#55C667FF
,4/12/2022,4/19/2022,"CVP regular counts, CWT reading, and larval sampling  ",Partial Interruption (Planned outages on 4/13 and 4/14),2,#FDE725FF
,4/12/2022,4/19/2022,Smelt Larval Survey  ,Not Active,4,#ffffff
,4/12/2022,4/19/2022,LEPS,Active,1,#55C667FF
,4/12/2022,4/19/2022,20mm Survey  ,Active ,1,#55C667FF
,4/12/2022,4/19/2022,Spring Kodiak Trawl  ,Active ,1,#55C667FF
,4/12/2022,4/19/2022,Fall Mid-water Trawl , Not Active ,4,#ffffff
,4/12/2022,4/19/2022,Summer Townet Survey ,Not Active ,4,#ffffff
,4/12/2022,4/19/2022,Bay Study  ,Active ,1,#55C667FF
,4/12/2022,4/19/2022, DJFMP- Chipps and Sacramento Trawls ,Active ,1,#55C667FF
,4/12/2022,4/19/2022,DJFMP- Seines  ,Active (no sampling in South Delta from 4/3 -4/9),2,#FDE725FF
,4/12/2022,4/19/2022, EDSM  ,Active ,1,#55C667FF
,4/12/2022,4/19/2022,EMP   , Active ,1,#55C667FF
,4/12/2022,4/19/2022,Mossdale   ,Not active ,4,#ffffff
,4/12/2022,4/19/2022,USGS Flow monitoring  ,Active  ,1,#55C667FF
,4/12/2022,4/19/2022,Red Bluff Diversion Dam screw trap  ,Active ,1,#55C667FF
,4/12/2022,4/19/2022,Knights Landing screw trap  ,Active ,1,#55C667FF
,4/12/2022,4/19/2022,Tisdale screw trap  ,Active ,1,#55C667FF
,4/12/2022,4/19/2022,GCID screw trap ,Active ,1,#55C667FF
,4/12/2022,4/19/2022,Redd dewatering and stranding surveys  ,Not Active ,4,#ffffff
,4/12/2022,4/19/2022,Sacramento Carcass and Redd Surveys  ,Active,1,#55C667FF
,4/12/2022,4/19/2022,Lower Sacramento Rotary Screw Trap,Active ,1,#55C667FF
,4/12/2022,4/19/2022,Feather River screw trap  ,Active (weekdays only) ,1,#55C667FF
,4/12/2022,4/19/2022,SJRRP CDFW Field Monitoring   ,Active ,1,#55C667FF
,4/12/2022,4/19/2022,SJRRP USFWS and USBR Field Monitoring,Active ,1,#55C667FF
,4/12/2022,4/19/2022,Stanislaus Fish Weir ,Active ,1,#55C667FF
,4/19/2022,4/26/2022,"SWP regular counts, CWT reading, and larval sampling",Active,1,#55C667FF
,4/19/2022,4/26/2022,"CVP regular counts, CWT reading, and larval sampling  ",Active,1,#55C667FF
,4/19/2022,4/26/2022,Smelt Larval Survey,Not Active,4,#ffffff
,4/19/2022,4/26/2022,LEPS,Active,1,#55C667FF
,4/19/2022,4/26/2022,20mm Survey,Active,1,#55C667FF
,4/19/2022,4/26/2022,Spring Kodiak Trawl,Active,1,#55C667FF
,4/19/2022,4/26/2022,Fall Mid-water Trawl,Not Active,4,#ffffff
,4/19/2022,4/26/2022,Summer Townet Survey,Not Active,4,#ffffff
,4/19/2022,4/26/2022,Bay Study,Active,1,#55C667FF
,4/19/2022,4/26/2022,DJFMP- Chipps and Sacramento Trawls,Active,1,#55C667FF
,4/19/2022,4/26/2022,DJFMP- Seines,Active,1,#55C667FF
,4/19/2022,4/26/2022,EDSM,Active,1,#55C667FF
,4/19/2022,4/26/2022,EMP,Active,1,#55C667FF
,4/19/2022,4/26/2022,Mossdale,Active,4,#ffffff
,4/19/2022,4/26/2022,USGS Flow monitoring,Active,1,#55C667FF
,4/19/2022,4/26/2022,Red Bluff Diversion Dam screw trap,Active,1,#55C667FF
,4/19/2022,4/26/2022,Knights Landing screw trap,Active,1,#55C667FF
,4/19/2022,4/26/2022,Tisdale screw trap,Active,1,#55C667FF
,4/19/2022,4/26/2022,GCID screw trap,Active,1,#55C667FF
,4/19/2022,4/26/2022,Redd dewatering and stranding surveys,Not Active,4,#ffffff
,4/19/2022,4/26/2022,Sacramento Carcass and Redd Surveys,Active,1,#55C667FF
,4/19/2022,4/26/2022,Lower Sacramento Rotary Screw Trap,Active,1,#55C667FF
,4/19/2022,4/26/2022,Feather River screw trap,Active (weekdays only),1,#55C667FF
,4/19/2022,4/26/2022,SJRRP CDFW Field Monitoring,Active,1,#55C667FF
,4/19/2022,4/26/2022,SJRRP USFWS and USBR Field Monitoring,Active,1,#55C667FF
,4/19/2022,4/26/2022,Stanislaus Fish Weir,Active,1,#55C667FF
,4/26/2022,5/3/2022,"SWP regular counts, CWT reading, and larval sampling",Active,1,#55C667FF
,4/26/2022,5/3/2022,"CVP regular counts, CWT reading, and larval sampling  ",Active,1,#55C667FF
,4/26/2022,5/3/2022,Smelt Larval Survey,Not Active,4,#ffffff
,4/26/2022,5/3/2022,LEPS,Active,1,#55C667FF
,4/26/2022,5/3/2022,20mm Survey,Active,1,#55C667FF
,4/26/2022,5/3/2022,Spring Kodiak Trawl,Active,1,#55C667FF
,4/26/2022,5/3/2022,Fall Mid-water Trawl,Not Active,4,#ffffff
,4/26/2022,5/3/2022,Summer Townet Survey,Not Active,4,#ffffff
,4/26/2022,5/3/2022,Bay Study,Active,1,#55C667FF
,4/26/2022,5/3/2022,DJFMP- Chipps and Sacramento Trawls,Active,1,#55C667FF
,4/26/2022,5/3/2022,DJFMP- Seines,Active (no sampling in South Delta),2,#FDE725FF
,4/26/2022,5/3/2022,EDSM,Active,1,#55C667FF
,4/26/2022,5/3/2022,EMP,Active,1,#55C667FF
,4/26/2022,5/3/2022,Mossdale,Active,1,#55C667FF
,4/26/2022,5/3/2022,USGS Flow monitoring,Active,1,#55C667FF
,4/26/2022,5/3/2022,Red Bluff Diversion Dam screw trap,Active,1,#55C667FF
,4/26/2022,5/3/2022,Knights Landing screw trap,Active,1,#55C667FF
,4/26/2022,5/3/2022,Tisdale screw trap,Active,1,#55C667FF
,4/26/2022,5/3/2022,GCID screw trap,Active,1,#55C667FF
,4/26/2022,5/3/2022,Redd dewatering and stranding surveys,Not Active,4,#ffffff
,4/26/2022,5/3/2022,Sacramento Carcass and Redd Surveys,Active,1,#55C667FF
,4/26/2022,5/3/2022,Lower Sacramento Rotary Screw Trap,Active,1,#55C667FF
,4/26/2022,5/3/2022,Feather River screw trap,Active (weekdays only),1,#55C667FF
,4/26/2022,5/3/2022,SJRRP CDFW Field Monitoring,Active,1,#55C667FF
,4/26/2022,5/3/2022,SJRRP USFWS and USBR Field Monitoring,Active,1,#55C667FF
,4/26/2022,5/3/2022,Stanislaus Fish Weir,Active,1,#55C667FF
,5/3/2022,5/10/2022,"SWP regular counts, CWT reading, and larval sampling",Active,1,#55C667FF
,5/3/2022,5/10/2022,"CVP regular counts, CWT reading, and larval sampling  ",Active,1,#55C667FF
,5/3/2022,5/10/2022,Smelt Larval Survey,Not Active,4,#ffffff
,5/3/2022,5/10/2022,LEPS,Active,1,#55C667FF
,5/3/2022,5/10/2022,20mm Survey,Active,1,#55C667FF
,5/3/2022,5/10/2022,Spring Kodiak Trawl,Active,1,#55C667FF
,5/3/2022,5/10/2022,Fall Mid-water Trawl,Not Active,4,#ffffff
,5/3/2022,5/10/2022,Summer Townet Survey,Not Active,4,#ffffff
,5/3/2022,5/10/2022,Bay Study,Active,1,#55C667FF
,5/3/2022,5/10/2022,DJFMP- Chipps and Sacramento Trawls,Active,1,#55C667FF
,5/3/2022,5/10/2022,DJFMP- Seines,Active,1,#55C667FF
,5/3/2022,5/10/2022,EDSM,Active,1,#55C667FF
,5/3/2022,5/10/2022,EMP,Active,1,#55C667FF
,5/3/2022,5/10/2022,Mossdale,Active,1,#55C667FF
,5/3/2022,5/10/2022,USGS Flow monitoring,Active,1,#55C667FF
,5/3/2022,5/10/2022,Red Bluff Diversion Dam screw trap,Active,1,#55C667FF
,5/3/2022,5/10/2022,Knights Landing screw trap,Active,1,#55C667FF
,5/3/2022,5/10/2022,Tisdale screw trap,Active,1,#55C667FF
,5/3/2022,5/10/2022,GCID screw trap,Active,1,#55C667FF
,5/3/2022,5/10/2022,Redd dewatering and stranding surveys,Not Active,4,#ffffff
,5/3/2022,5/10/2022,Sacramento Carcass and Redd Surveys,Active,1,#55C667FF
,5/3/2022,5/10/2022,Lower Sacramento Rotary Screw Trap,Active,1,#55C667FF
,5/3/2022,5/10/2022,Feather River screw trap,Active (weekdays only),1,#55C667FF
,5/3/2022,5/10/2022,SJRRP CDFW Field Monitoring,Active,1,#55C667FF
,5/3/2022,5/10/2022,SJRRP USFWS and USBR Field Monitoring,Active,1,#55C667FF
,5/3/2022,5/10/2022,Stanislaus Fish Weir,Active,1,#55C667FF
,5/10/2022,5/17/2022,"SWP regular counts, CWT reading, and larval sampling",Active,1,#55C667FF
,5/10/2022,5/17/2022,"CVP regular counts, CWT reading, and larval sampling  ",Active,1,#55C667FF
,5/10/2022,5/17/2022,Smelt Larval Survey,Not Active,4,#ffffff
,5/10/2022,5/17/2022,LEPS,Active,1,#55C667FF
,5/10/2022,5/17/2022,20mm Survey,Active,1,#55C667FF
,5/10/2022,5/17/2022,Spring Kodiak Trawl,Active,1,#55C667FF
,5/10/2022,5/17/2022,Fall Mid-water Trawl,Not Active,4,#ffffff
,5/10/2022,5/17/2022,Summer Townet Survey,Not Active,4,#ffffff
,5/10/2022,5/17/2022,Bay Study,Active,1,#55C667FF
,5/10/2022,5/17/2022,DJFMP- Chipps and Sacramento Trawls,Active,1,#55C667FF
,5/10/2022,5/17/2022,DJFMP- Seines,Active,1,#55C667FF
,5/10/2022,5/17/2022,EDSM,Active,1,#55C667FF
,5/10/2022,5/17/2022,EMP,Active,1,#55C667FF
,5/10/2022,5/17/2022,Mossdale,Active,1,#55C667FF
,5/10/2022,5/17/2022,USGS Flow monitoring,Active,1,#55C667FF
,5/10/2022,5/17/2022,Red Bluff Diversion Dam screw trap,Active,1,#55C667FF
,5/10/2022,5/17/2022,Knights Landing screw trap,Active,1,#55C667FF
,5/10/2022,5/17/2022,Tisdale screw trap,Active,1,#55C667FF
,5/10/2022,5/17/2022,GCID screw trap,Active,1,#55C667FF
,5/10/2022,5/17/2022,Redd dewatering and stranding surveys,Not Active,4,#ffffff
,5/10/2022,5/17/2022,Sacramento Carcass and Redd Surveys,Active,1,#55C667FF
,5/10/2022,5/17/2022,Lower Sacramento Rotary Screw Trap,Active,1,#55C667FF
,5/10/2022,5/17/2022,Feather River screw trap,Active (weekdays only),1,#55C667FF
,5/10/2022,5/17/2022,SJRRP CDFW Field Monitoring,Active,1,#55C667FF
,5/10/2022,5/17/2022,SJRRP USFWS and USBR Field Monitoring,Active,1,#55C667FF
,5/10/2022,5/17/2022,Stanislaus Fish Weir,Active,1,#55C667FF
,5/17/2022,5/24/2022,"SWP regular counts, CWT reading, and larval sampling",Not Active 5/16/22 - 5/20/22,2,#FDE725FF
,5/17/2022,5/24/2022,"CVP regular counts, CWT reading, and larval sampling  ",Active,1,#55C667FF
,5/17/2022,5/24/2022,Smelt Larval Survey,Not Active,4,#ffffff
,5/17/2022,5/24/2022,LEPS,Active,1,#55C667FF
,5/17/2022,5/24/2022,20mm Survey,Active,1,#55C667FF
,5/17/2022,5/24/2022,Spring Kodiak Trawl,Not Active,4,#ffffff
,5/17/2022,5/24/2022,Fall Mid-water Trawl,Not Active,4,#ffffff
,5/17/2022,5/24/2022,Summer Townet Survey,Not Active,4,#ffffff
,5/17/2022,5/24/2022,Bay Study,Active,1,#55C667FF
,5/17/2022,5/24/2022,DJFMP- Chipps and Sacramento Trawls,Active ,1,#55C667FF
,5/17/2022,5/24/2022,DJFMP- Seines,Active ,1,#55C667FF
,5/17/2022,5/24/2022,EDSM,Active ,1,#55C667FF
,5/17/2022,5/24/2022,EMP,Active,1,#55C667FF
,5/17/2022,5/24/2022,Mossdale,Active,4,#ffffff
,5/17/2022,5/24/2022,USGS Flow monitoring,Active,1,#55C667FF
,5/17/2022,5/24/2022,Red Bluff Diversion Dam screw trap,Active,1,#55C667FF
,5/17/2022,5/24/2022,Knights Landing screw trap,Active,1,#55C667FF
,5/17/2022,5/24/2022,Tisdale screw trap,Active (data through 5/13/2022 as of 5/17/2022 meeting),1,#55C667FF
,5/17/2022,5/24/2022,GCID screw trap,Partial Interruption,2,#FDE725FF
,5/17/2022,5/24/2022,Redd dewatering and stranding surveys,Not Active,4,#ffffff
,5/17/2022,5/24/2022,Sacramento Carcass and Redd Surveys,Active,1,#55C667FF
,5/17/2022,5/24/2022,Lower Sacramento Rotary Screw Trap,Active,1,#55C667FF
,5/17/2022,5/24/2022,Feather River screw trap,Active (weekdays only),1,#55C667FF
,5/17/2022,5/24/2022,SJRRP CDFW Field Monitoring,Active,1,#55C667FF
,5/17/2022,5/24/2022,SJRRP USFWS and USBR Field Monitoring,Active,1,#55C667FF
,5/17/2022,5/24/2022,Stanislaus Fish Weir,Active,1,#55C667FF
,5/24/2022,5/31/2022,"SWP regular counts, CWT reading, and larval sampling",Active,1,#55C667FF
,5/24/2022,5/31/2022,"CVP regular counts, CWT reading, and larval sampling  ",Active,1,#55C667FF
,5/24/2022,5/31/2022,Smelt Larval Survey,Not Active,4,#ffffff
,5/24/2022,5/31/2022,LEPS,Not Active (ended May 12),4,#ffffff
,5/24/2022,5/31/2022,20mm Survey,Active,1,#55C667FF
,5/24/2022,5/31/2022,Spring Kodiak Trawl,Not Active,4,#ffffff
,5/24/2022,5/31/2022,Fall Mid-water Trawl,Not Active,4,#ffffff
,5/24/2022,5/31/2022,Summer Townet Survey,Not Active,4,#ffffff
,5/24/2022,5/31/2022,Bay Study,Active,1,#55C667FF
,5/24/2022,5/31/2022,DJFMP- Chipps and Sacramento Trawls,Active (sampling three days/week through Dec),1,#55C667FF
,5/24/2022,5/31/2022,DJFMP- Seines,Partial Interruption (not able to sample in San Joaquin and South Delta),2,#FDE725FF
,5/24/2022,5/31/2022,EDSM,Active ,1,#55C667FF
,5/24/2022,5/31/2022,EMP,Active,1,#55C667FF
,5/24/2022,5/31/2022,Mossdale,Interrupted,3,#453781FF
,5/24/2022,5/31/2022,USGS Flow monitoring,Active,1,#55C667FF
,5/24/2022,5/31/2022,Red Bluff Diversion Dam screw trap,Active,1,#55C667FF
,5/24/2022,5/31/2022,Knights Landing screw trap,Not Active,4,#ffffff
,5/24/2022,5/31/2022,Tisdale screw trap,Not Active,4,#ffffff
,5/24/2022,5/31/2022,GCID screw trap,Active,1,#55C667FF
,5/24/2022,5/31/2022,Redd dewatering and stranding surveys,Not Active,4,#ffffff
,5/24/2022,5/31/2022,Sacramento Carcass and Redd Surveys,Active,1,#55C667FF
,5/24/2022,5/31/2022,Lower Sacramento Rotary Screw Trap,Active,1,#55C667FF
,5/24/2022,5/31/2022,Feather River (upper DWR),Active,1,#55C667FF
,5/24/2022,5/31/2022,Feather River (lower CDFW),Active,1,#55C667FF
,5/24/2022,5/31/2022,SJRRP CDFW Field Monitoring,Active,1,#55C667FF
,5/24/2022,5/31/2022,SJRRP USFWS and USBR Field Monitoring,Active,1,#55C667FF
,5/24/2022,5/31/2022,Stanislaus Fish Weir,Active,1,#55C667FF
,5/31/2022,6/7/2022,"SWP regular counts, CWT reading, and larval sampling",Active,1,#55C667FF
,5/31/2022,6/7/2022,"CVP regular counts, CWT reading, and larval sampling  ",Active,1,#55C667FF
,5/31/2022,6/7/2022,Smelt Larval Survey,Not Active,4,#ffffff
,5/31/2022,6/7/2022,LEPS,Not Active (ended May 12),4,#ffffff
,5/31/2022,6/7/2022,20mm Survey,Active,1,#55C667FF
,5/31/2022,6/7/2022,Spring Kodiak Trawl,Not Active,4,#ffffff
,5/31/2022,6/7/2022,Fall Mid-water Trawl,Not Active,4,#ffffff
,5/31/2022,6/7/2022,Summer Townet Survey,Not Active,4,#ffffff
,5/31/2022,6/7/2022,Bay Study,Active,1,#55C667FF
,5/31/2022,6/7/2022,DJFMP- Chipps and Sacramento Trawls,Active (sampling three days/week through Dec),1,#55C667FF
,5/31/2022,6/7/2022,DJFMP- Seines,Partial Interruption (not able to sample in South Delta),2,#FDE725FF
,5/31/2022,6/7/2022,EDSM,Active ,1,#55C667FF
,5/31/2022,6/7/2022,EMP,Active,1,#55C667FF
,5/31/2022,6/7/2022,Mossdale,Active,1,#55C667FF
,5/31/2022,6/7/2022,USGS Flow monitoring,Active,1,#55C667FF
,5/31/2022,6/7/2022,Red Bluff Diversion Dam screw trap,Active,1,#55C667FF
,5/31/2022,6/7/2022,Knights Landing screw trap,Not Active,4,#ffffff
,5/31/2022,6/7/2022,Tisdale screw trap,Not Active,4,#ffffff
,5/31/2022,6/7/2022,GCID screw trap,Partial interruption (traps were removed from 5/24-5/26),2,#FDE725FF
,5/31/2022,6/7/2022,Redd dewatering and stranding surveys,Not Active,4,#ffffff
,5/31/2022,6/7/2022,Sacramento Carcass and Redd Surveys,Active,1,#55C667FF
,5/31/2022,6/7/2022,Lower Sacramento Rotary Screw Trap,Partial interruption (pulled from 5/26 through 5/28),2,#FDE725FF
,5/31/2022,6/7/2022,Feather River (upper DWR),"Partial interruption (Herringer is interrupted, trapping continues at Eye side channel)",2,#FDE725FF
,5/31/2022,6/7/2022,Feather River (lower CDFW),Active,1,#55C667FF
,5/31/2022,6/7/2022,SJRRP CDFW Field Monitoring,Active,1,#55C667FF
,5/31/2022,6/7/2022,SJRRP USFWS and USBR Field Monitoring,Active,1,#55C667FF
,5/31/2022,6/7/2022,Stanislaus Fish Weir,Active,1,#55C667FF
,6/7/2022,6/14/2022,"SWP regular counts, CWT reading, and larval sampling",Active,1,#55C667FF
,6/7/2022,6/14/2022,"CVP regular counts, CWT reading, and larval sampling  ",Active,1,#55C667FF
,6/7/2022,6/14/2022,Smelt Larval Survey,Not Active,4,#ffffff
,6/7/2022,6/14/2022,LEPS,Not Active (ended May 12),4,#ffffff
,6/7/2022,6/14/2022,20mm Survey,Active,1,#55C667FF
,6/7/2022,6/14/2022,Spring Kodiak Trawl,Not Active,4,#ffffff
,6/7/2022,6/14/2022,Fall Mid-water Trawl,Not Active,4,#ffffff
,6/7/2022,6/14/2022,Summer Townet Survey,Active,1,#55C667FF
,6/7/2022,6/14/2022,Bay Study,Active,1,#55C667FF
,6/7/2022,6/14/2022,DJFMP- Chipps and Sacramento Trawls,Active (sampling three days/week through Dec),1,#55C667FF
,6/7/2022,6/14/2022,DJFMP- Seines,Active,1,#55C667FF
,6/7/2022,6/14/2022,EDSM,Partial Interruption (no sites were sampled at Suisun Marsh and Lower San Joaquin,2,#FDE725FF
,6/7/2022,6/14/2022,EMP,Active,1,#55C667FF
,6/7/2022,6/14/2022,Mossdale,Active,1,#55C667FF
,6/7/2022,6/14/2022,USGS Flow monitoring,Active,1,#55C667FF
,6/7/2022,6/14/2022,Red Bluff Diversion Dam screw trap,Active,1,#55C667FF
,6/7/2022,6/14/2022,Knights Landing screw trap,Not Active,4,#ffffff
,6/7/2022,6/14/2022,Tisdale screw trap,Not Active,4,#ffffff
,6/7/2022,6/14/2022,GCID screw trap,Active (Trap was inactive on n 6/03),1,#55C667FF
,6/7/2022,6/14/2022,Redd dewatering and stranding surveys,Not Active,4,#ffffff
,6/7/2022,6/14/2022,Sacramento Carcass and Redd Surveys,Active,1,#55C667FF
,6/7/2022,6/14/2022,Lower Sacramento Rotary Screw Trap,Partial interruption (pulled from 6/02 through 6/04),2,#FDE725FF
,6/7/2022,6/14/2022,Feather River (upper DWR),"Partial interruption (Herringer is interrupted,  trapping continues at Eye side channel with missing data from 6/03-6/04 and 6/06)",2,#FDE725FF
,6/7/2022,6/14/2022,Feather River (lower CDFW),Active,1,#55C667FF
,6/7/2022,6/14/2022,SJRRP CDFW Field Monitoring,Active,1,#55C667FF
,6/7/2022,6/14/2022,SJRRP USFWS and USBR Field Monitoring,Not Active,4,#ffffff
,6/7/2022,6/14/2022,Stanislaus Fish Weir,Active,1,#55C667FF
,6/14/2022,6/21/2022,"SWP regular counts, CWT reading, and larval sampling",Active,1,#55C667FF
,6/14/2022,6/21/2022,"CVP regular counts, CWT reading, and larval sampling  ",Active,1,#55C667FF
,6/14/2022,6/21/2022,Smelt Larval Survey,Not Active,4,#ffffff
,6/14/2022,6/21/2022,LEPS,Not Active (ended May 12),4,#ffffff
,6/14/2022,6/21/2022,20mm Survey,Active,1,#55C667FF
,6/14/2022,6/21/2022,Spring Kodiak Trawl,Not Active,4,#ffffff
,6/14/2022,6/21/2022,Fall Mid-water Trawl,Not Active,4,#ffffff
,6/14/2022,6/21/2022,Summer Townet Survey,Active,1,#55C667FF
,6/14/2022,6/21/2022,Bay Study,Active,1,#55C667FF
,6/14/2022,6/21/2022,DJFMP- Chipps and Sacramento Trawls,Active (sampling three days/week through Dec),1,#55C667FF
,6/14/2022,6/21/2022,DJFMP- Seines,Active,1,#55C667FF
,6/14/2022,6/21/2022,EDSM,Active,1,#55C667FF
,6/14/2022,6/21/2022,EMP,Active,1,#55C667FF
,6/14/2022,6/21/2022,Mossdale,Active,1,#55C667FF
,6/14/2022,6/21/2022,USGS Flow monitoring,Active,1,#55C667FF
,6/14/2022,6/21/2022,Red Bluff Diversion Dam screw trap,Active,1,#55C667FF
,6/14/2022,6/21/2022,Knights Landing screw trap,Not Active,4,#ffffff
,6/14/2022,6/21/2022,Tisdale screw trap,Not Active,4,#ffffff
,6/14/2022,6/21/2022,GCID screw trap,Active (Trap was inactive on n 6/08-6/10),1,#55C667FF
,6/14/2022,6/21/2022,Redd dewatering and stranding surveys,Not Active,4,#ffffff
,6/14/2022,6/21/2022,Sacramento Carcass and Redd Surveys,Active,1,#55C667FF
,6/14/2022,6/21/2022,Lower Sacramento Rotary Screw Trap,Not Active,4,#ffffff
,6/14/2022,6/21/2022,Feather River (upper DWR),"Partial interruption (Herringer is interrupted, trapping continues at Eye side channel with missing data from 6/03-6/04 and 6/06)",2,#FDE725FF
,6/14/2022,6/21/2022,Feather River (lower CDFW),Active,1,#55C667FF
,6/14/2022,6/21/2022,SJRRP CDFW Field Monitoring,Active,1,#55C667FF
,6/14/2022,6/21/2022,SJRRP USFWS and USBR Field Monitoring,Not Active,4,#ffffff
,6/14/2022,6/21/2022,Stanislaus Fish Weir,Active,1,#55C667FF
,6/21/2022,6/28/2022,"SWP regular counts, CWT reading, and larval sampling",Active,1,#55C667FF
,6/21/2022,6/28/2022,"CVP regular counts, CWT reading, and larval sampling  ",Active,1,#55C667FF
,6/21/2022,6/28/2022,Smelt Larval Survey,Not Active,4,#ffffff
,6/21/2022,6/28/2022,LEPS,Not Active (ended May 12),4,#ffffff
,6/21/2022,6/28/2022,20mm Survey,Active,1,#55C667FF
,6/21/2022,6/28/2022,Spring Kodiak Trawl,Not Active,4,#ffffff
,6/21/2022,6/28/2022,Fall Mid-water Trawl,Not Active,4,#ffffff
,6/21/2022,6/28/2022,Summer Townet Survey,Active,1,#55C667FF
,6/21/2022,6/28/2022,Bay Study,Active,1,#55C667FF
,6/21/2022,6/28/2022,DJFMP- Chipps and Sacramento Trawls,Active (sampling three days/week through Dec),1,#55C667FF
,6/21/2022,6/28/2022,DJFMP- Seines,Active,1,#55C667FF
,6/21/2022,6/28/2022,EDSM,Active,1,#55C667FF
,6/21/2022,6/28/2022,EMP,Active,1,#55C667FF
,6/21/2022,6/28/2022,Mossdale,Active,1,#55C667FF
,6/21/2022,6/28/2022,USGS Flow monitoring,Active,1,#55C667FF
,6/21/2022,6/28/2022,Red Bluff Diversion Dam screw trap,Active,1,#55C667FF
,6/21/2022,6/28/2022,Knights Landing screw trap,Not Active,4,#ffffff
,6/21/2022,6/28/2022,Tisdale screw trap,Not Active,4,#ffffff
